10540: Registrerte arbeidsledige (prosent), etter alder, måned, statistikkvariabel og region;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alder;måned;statistikkvariabel;1101 Eigersund;1102 Sandnes (-2019);1103 Stavanger;1106 Haugesund;1111 Sokndal;1112 Lund;1114 Bjerkreim;1119 Hå;1120 Klepp;1121 Time;1122 Gjesdal;1124 Sola;1127 Randaberg;1129 Forsand (-2019);1130 Strand;1133 Hjelmeland;1134 Suldal;1135 Sauda;1141 Finnøy (-2019);1142 Rennesøy (-2019);1144 Kvitsøy;1145 Bokn;1146 Tysvær;1149 Karmøy;1151 Utsira;1154 Vindafjord (1965-2005)
15-74 år;2000M08;Registrert helt arbeidsledige;03.jul;03.feb;04.feb;5.0;04.apr;01.sep;01.jul;01.aug;2.0;02.feb;02.feb;02.mai;02.jan;02.apr;3.0;1.0;01.jun;03.mai;02.jan;01.apr;01.jun;02.apr;03.feb;03.aug;0.8;01.aug
15-74 år;2000M09;Registrert helt arbeidsledige;03.jan;03.jan;4.0;04.jul;04.apr;01.mai;01.mai;01.sep;01.sep;2.0;2.0;02.apr;2.0;02.feb;02.jun;0.8;01.jul;03.feb;01.jul;01.mar;01.jun;02.apr;3.0;04.jan;0.8;01.mai
15-74 år;2000M10;Registrert helt arbeidsledige;02.jun;03.jan;4.0;04.sep;04.mar;01.apr;01.apr;02.apr;2.0;2.0;02.jan;02.mai;01.jul;02.apr;3.0;1.0;01.mai;3.0;01.apr;01.jul;03.feb;02.apr;03.feb;04.mar;0.0;01.mar
15-74 år;2000M11;Registrert helt arbeidsledige;02.jun;03.feb;03.aug;5.0;04.apr;01.jun;01.mai;02.mar;03.jul;04.aug;02.jul;02.apr;01.aug;01.sep;3.0;01.jan;01.aug;03.mai;2.0;01.mai;03.mai;01.jul;02.sep;04.mai;0.0;01.jul
15-74 år;2000M12;Registrert helt arbeidsledige;3.0;03.mar;03.sep;05.jan;04.mai;01.aug;01.apr;02.jan;03.feb;4.0;02.jun;02.mai;2.0;02.apr;03.jul;01.apr;01.jun;04.feb;01.jun;02.jan;04.mar;02.feb;3.0;04.apr;0.0;01.sep
15-74 år;2001M01;Registrert helt arbeidsledige;02.aug;03.mar;04.jan;05.mai;04.mar;02.jan;01.apr;2.0;02.apr;02.jan;02.mar;02.jun;02.jan;01.sep;03.sep;2.0;02.jun;04.feb;01.apr;01.aug;03.mar;02.mai;03.jul;04.sep;01.mai;02.mar
15-74 år;2001M02;Registrert helt arbeidsledige;02.jun;03.jan;03.jul;04.sep;04.jan;01.jul;01.apr;01.jun;2.0;01.sep;2.0;02.mai;01.aug;01.jul;03.mai;01.feb;02.feb;04.apr;01.mar;01.jun;04.apr;02.aug;03.mai;04.mai;0.8;01.jun
15-74 år;2001M03;Registrert helt arbeidsledige;02.jun;03.jan;03.mai;04.jun;03.sep;01.mai;01.jan;01.jul;01.sep;01.aug;01.sep;02.apr;01.apr;02.mar;03.jan;01.apr;01.sep;03.aug;01.jan;01.mai;03.mar;02.mai;3.0;04.jan;0.8;01.feb
15-74 år;2001M04;Registrert helt arbeidsledige;02.jul;02.aug;03.mar;04.jan;03.jul;01.jan;01.feb;01.apr;01.mai;01.mar;01.jul;2.0;01.mai;01.mar;02.jul;01.feb;01.jul;03.apr;1.0;01.mar;02.feb;02.mar;02.aug;03.aug;0.0;01.jan
15-74 år;2001M05;Registrert helt arbeidsledige;02.mar;02.jun;03.jan;4.0;03.mai;01.mar;01.jan;01.mar;01.apr;01.feb;01.mai;2.0;01.mai;01.sep;2.0;0.6;01.jun;03.apr;0.7;1.0;02.sep;3.0;02.jun;03.apr;0.0;1.0
15-74 år;2001M06;Registrert helt arbeidsledige;02.jan;02.jun;03.feb;04.apr;03.mar;01.mai;01.mar;01.feb;01.apr;01.feb;01.mai;2.0;01.jun;02.jan;02.jan;0.8;01.sep;05.sep;1.0;0.8;02.jun;02.mar;3.0;03.jul;0.0;0.9
15-74 år;2001M07;Registrert helt arbeidsledige;02.jul;02.jul;03.mai;04.jul;3.0;2.0;01.mai;01.apr;01.jul;01.mai;01.jul;02.apr;01.jul;02.mar;02.jul;0.8;01.aug;03.mai;01.feb;01.feb;02.sep;02.mai;02.sep;03.aug;02.mar;1.0
15-74 år;2001M08;Registrert helt arbeidsledige;02.jun;02.sep;03.jul;04.aug;03.feb;01.jun;01.feb;01.apr;01.aug;01.jun;01.sep;02.mai;01.jul;02.apr;02.aug;0.8;01.sep;4.0;01.mai;01.feb;02.jun;02.mar;02.jul;04.mar;01.mai;01.feb
15-74 år;2001M09;Registrert helt arbeidsledige;02.feb;02.aug;03.jul;04.mai;03.apr;01.aug;01.mar;01.mar;01.jun;01.sep;2.0;02.jun;01.aug;01.mai;02.mai;1.0;02.feb;03.jul;01.feb;01.apr;02.jun;2.0;02.jun;03.aug;01.mai;01.feb
15-74 år;2001M10;Registrert helt arbeidsledige;2.0;02.sep;03.jun;04.apr;02.aug;01.mai;01.jan;01.feb;01.jul;2.0;02.jan;02.mar;01.jul;01.mar;02.jun;1.0;02.jan;03.mar;01.mar;01.jun;02.sep;2.0;02.jul;03.aug;02.mar;01.jan
15-74 år;2001M11;Registrert helt arbeidsledige;2.0;3.0;03.jun;04.apr;03.mar;02.jan;01.mar;01.mar;2.0;01.sep;01.jul;02.mar;01.aug;01.mar;02.aug;01.mai;02.jan;03.jul;01.mai;2.0;01.aug;01.mai;02.sep;03.jul;3.0;01.feb
15-74 år;2001M12;Registrert helt arbeidsledige;02.jan;3.0;03.jul;04.apr;03.sep;01.sep;01.feb;01.mar;2.0;01.aug;01.sep;02.apr;01.aug;01.sep;02.sep;01.jun;01.apr;03.sep;01.apr;02.jan;01.aug;01.aug;03.jan;03.sep;02.mar;01.mai
15-74 år;2002M01;Registrert helt arbeidsledige;02.mar;03.mai;04.jan;04.sep;04.mai;02.jan;01.mar;01.jul;02.mar;01.sep;02.feb;02.aug;02.mar;01.aug;03.jun;02.mai;01.jun;04.jan;01.jun;02.aug;02.feb;02.mai;03.jun;04.jul;03.feb;01.aug
15-74 år;2002M02;Registrert helt arbeidsledige;02.feb;03.jan;03.aug;04.jun;04.feb;01.mai;01.jan;01.mai;02.jan;02.jan;01.sep;02.aug;2.0;01.aug;03.jul;01.apr;01.apr;03.jun;01.mai;02.jun;02.jun;02.mai;03.feb;04.feb;07.mar;01.apr
15-74 år;2002M03;Registrert helt arbeidsledige;02.jan;03.jan;03.aug;04.jul;03.jul;01.jul;01.feb;01.apr;02.feb;2.0;02.jan;02.aug;02.jan;01.jun;03.jun;01.jul;01.apr;03.apr;01.feb;02.jan;02.jun;02.mar;03.mar;4.0;03.feb;01.jun
15-74 år;2002M04;Registrert helt arbeidsledige;02.mar;3.0;03.aug;04.apr;3.0;01.apr;01.jan;01.apr;2.0;01.sep;02.jan;02.jun;01.aug;01.feb;3.0;2.0;02.jan;03.mai;01.apr;01.jun;03.apr;01.aug;02.aug;03.aug;07.mar;01.apr
