10540: Registrerte arbeidsledige (prosent), etter alder, måned, statistikkvariabel og region;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alder;måned;statistikkvariabel;1101 Eigersund;1102 Sandnes (-2019);1103 Stavanger;1106 Haugesund;1111 Sokndal;1112 Lund;1114 Bjerkreim;1119 Hå;1120 Klepp;1121 Time;1122 Gjesdal;1124 Sola;1127 Randaberg;1129 Forsand (-2019);1130 Strand;1133 Hjelmeland;1134 Suldal;1135 Sauda;1141 Finnøy (-2019);1142 Rennesøy (-2019);1144 Kvitsøy;1145 Bokn;1146 Tysvær;1149 Karmøy;1151 Utsira;1154 Vindafjord (1965-2005)
15-29 år;2001M06;Registrert helt arbeidsledige;02.feb;03.mar;04.feb;06.feb;06.jun;02.apr;2.0;01.jun;01.sep;2.0;01.sep;02.jan;02.jan;04.jan;03.mar;1.0;02.feb;14.jun;0.5;01.jan;01.mai;02.aug;4.0;05.jun;0.0;01.jun
15-29 år;2001M07;Registrert helt arbeidsledige;03.jan;03.jun;04.mai;06.jul;04.jul;03.mar;02.feb;01.jul;02.feb;2.0;2.0;3.0;02.apr;04.aug;03.aug;0.5;2.0;05.mar;01.feb;01.sep;01.mai;01.sep;04.mar;05.jun;0.0;01.apr
15-29 år;2001M08;Registrert helt arbeidsledige;03.jul;03.aug;05.jan;06.aug;05.mar;02.feb;1.0;01.mai;02.jul;02.jun;02.aug;03.apr;02.jul;04.aug;04.feb;1.0;02.feb;05.aug;2.0;01.jul;02.sep;04.jun;4.0;06.mai;02.apr;01.jul
15-29 år;2001M09;Registrert helt arbeidsledige;02.sep;03.aug;04.jun;06.mai;05.mai;02.jun;1.0;01.sep;02.jan;02.jun;03.mar;03.jul;02.mai;02.jul;03.aug;01.mai;01.aug;05.aug;01.feb;02.apr;01.mai;03.jul;03.sep;05.jul;02.apr;01.aug
15-29 år;2001M10;Registrert helt arbeidsledige;02.mai;03.aug;04.jul;06.apr;5.0;01.mai;0.2;01.aug;02.mai;3.0;03.mar;03.feb;02.feb;01.apr;03.mai;01.mai;02.jul;04.mai;01.mai;02.aug;05.aug;02.aug;03.jun;05.mai;04.sep;01.jul
15-29 år;2001M11;Registrert helt arbeidsledige;02.jun;4.0;04.sep;6.0;5.0;03.jan;0.7;01.aug;02.aug;02.jul;02.jun;02.sep;02.apr;02.jan;04.mar;01.mai;03.mar;04.aug;01.feb;03.apr;02.sep;0.9;03.sep;04.sep;07.mar;01.jul
15-29 år;2001M12;Registrert helt arbeidsledige;02.jul;4.0;04.sep;05.jul;07.jan;02.sep;01.feb;01.jul;02.jul;02.mai;02.aug;02.sep;02.mai;01.apr;04.feb;01.mai;01.mar;05.aug;01.feb;02.jun;01.mai;0.9;04.jan;05.apr;04.sep;01.aug
15-29 år;2002M01;Registrert helt arbeidsledige;02.aug;05.feb;05.jul;07.jan;07.sep;03.mai;01.mai;02.mai;03.aug;02.aug;03.mar;03.jun;03.jul;02.mai;6.0;02.sep;01.mar;06.mai;02.mar;04.jun;01.mai;02.sep;05.mar;06.aug;05.jul;02.apr
15-29 år;2002M02;Registrert helt arbeidsledige;02.jul;04.jan;05.jan;06.jul;07.jan;02.aug;01.jul;02.mar;03.mai;02.aug;02.jul;03.jul;03.jan;02.mai;06.feb;02.jan;01.mai;05.feb;02.mai;04.jun;01.mai;02.sep;04.sep;06.jan;05.jul;01.sep
15-29 år;2002M03;Registrert helt arbeidsledige;02.jul;04.apr;05.feb;06.jul;05.mai;03.mar;01.mai;2.0;03.mai;02.jun;03.jan;03.jul;03.jan;01.jul;05.jun;02.jul;01.jan;04.jun;02.mar;03.mar;01.mai;1.0;05.jan;05.mai;02.sep;02.apr
15-29 år;2002M04;Registrert helt arbeidsledige;02.jun;04.jan;05.jan;05.jul;03.jul;02.jun;0.7;01.aug;03.jan;02.jun;03.aug;03.apr;02.feb;01.jul;04.jul;02.jan;01.aug;04.aug;02.mar;02.aug;04.jun;1.0;04.mar;05.mai;0.0;2.0
15-29 år;2002M05;Registrert helt arbeidsledige;2.0;03.jul;04.jul;6.0;03.feb;02.jun;01.feb;01.mai;02.sep;02.jun;02.aug;03.jan;02.mar;02.mai;04.mai;02.jul;01.jan;33.7;01.mai;01.jul;03.jan;01.sep;03.mai;04.sep;0.0;02.feb
15-29 år;2002M06;Registrert helt arbeidsledige;02.feb;4.0;05.mai;06.apr;02.sep;02.jan;01.mai;01.sep;02.sep;03.feb;02.aug;03.mar;03.mar;02.mai;5.0;01.jun;01.mai;05.mai;1.0;2.0;03.jan;1.0;03.sep;05.jul;0.0;2.0
15-29 år;2002M07;Registrert helt arbeidsledige;03.jan;04.apr;6.0;06.sep;05.mai;03.mar;01.jul;02.feb;02.sep;03.mai;3.0;04.mar;03.feb;02.mai;05.jan;01.mar;01.mar;05.feb;01.aug;03.mar;01.mai;01.sep;5.0;06.apr;02.sep;2.0
15-29 år;2002M08;Registrert helt arbeidsledige;03.apr;5.0;06.feb;06.apr;4.0;03.mai;2.0;02.jul;3.0;03.jul;03.mar;04.mai;03.feb;01.jul;05.jun;01.jun;01.jun;04.aug;01.aug;01.jul;03.jan;02.sep;04.mar;06.mar;0.0;02.jun
15-29 år;2002M09;Registrert helt arbeidsledige;02.jun;04.mar;05.aug;06.mai;03.apr;03.mar;01.mai;03.jan;02.sep;3.0;03.feb;04.mai;02.jun;5.0;04.jun;01.mar;2.0;04.jun;02.mar;01.jan;0.0;0.0;03.jul;05.jul;0.0;02.apr
15-29 år;2002M10;Registrert helt arbeidsledige;02.jul;04.jun;05.aug;05.sep;03.apr;02.apr;01.mai;02.aug;02.jun;03.jan;03.mar;04.jan;02.sep;03.apr;05.jan;02.apr;02.jul;05.mar;02.mai;0.4;0.0;02.sep;04.apr;06.feb;02.sep;2.0
15-29 år;2002M11;Registrert helt arbeidsledige;03.sep;04.mar;05.sep;05.sep;03.apr;03.aug;02.feb;02.jan;02.jun;02.sep;03.jun;04.apr;03.feb;03.apr;05.jun;01.jun;01.aug;6.0;01.aug;01.jan;01.mai;01.sep;03.sep;05.jun;05.jul;02.feb
15-29 år;2002M12;Registrert helt arbeidsledige;03.aug;04.mai;05.mai;05.jun;02.jun;02.jun;01.jul;02.mar;02.sep;02.jul;03.aug;03.sep;03.feb;03.apr;07.mar;01.mar;02.jun;6.0;01.aug;01.jan;01.mai;02.sep;03.aug;05.sep;05.jul;01.jun
30-74 år;1999M01;Registrert helt arbeidsledige;01.mar;2.0;02.mar;02.mar;01.sep;0.7;0.6;0.9;0.7;0.9;01.jan;01.jul;1.0;0.5;01.jan;01.jan;01.jul;03.aug;01.feb;01.jan;2.0;0.4;01.feb;02.apr;0.0;01.mar
30-74 år;1999M02;Registrert helt arbeidsledige;01.mar;01.sep;02.mar;02.apr;01.jul;01.jan;01.jan;0.7;0.9;1.0;01.feb;01.jul;0.9;0.8;01.mar;1.0;01.apr;03.mai;01.jan;01.jan;0.5;01.jan;01.mar;02.mar;04.sep;0.9
30-74 år;1999M03;Registrert helt arbeidsledige;01.jan;2.0;02.apr;02.feb;01.jul;0.5;0.7;0.8;0.8;0.9;1.0;01.jul;1.0;0.8;01.mar;01.feb;01.mar;03.sep;0.8;01.feb;01.mai;0.4;01.feb;02.mar;0.0;0.8
30-74 år;1999M04;Registrert helt arbeidsledige;01.mai;2.0;02.apr;02.jan;01.apr;0.6;0.6;0.8;0.9;0.9;0.9;01.aug;1.0;0.8;01.apr;01.jan;01.jan;03.mai;0.7;01.mar;2.0;0.7;01.feb;02.mar;0.0;0.7
30-74 år;1999M05;Registrert helt arbeidsledige;01.feb;01.sep;02.mar;01.sep;0.9;0.4;0.6;0.8;0.9;0.9;01.jan;01.mai;1.0;0.5;01.feb;0.8;0.9;02.aug;0.3;0.7;1.0;0.4;1.0;01.sep;03.jul;0.6
30-74 år;1999M06;Registrert helt arbeidsledige;01.feb;2.0;02.mai;02.feb;01.feb;0.6;0.6;0.8;0.9;1.0;01.jan;01.jul;0.9;0.5;01.mar;0.7;1.0;02.sep;0.5;0.8;1.0;0.4;01.jan;02.feb;0.0;0.8
30-74 år;1999M07;Registrert helt arbeidsledige;01.jul;02.mai;02.aug;02.mai;01.jun;01.mar;0.7;0.8;01.jan;01.apr;1.0;01.sep;01.jan;0.5;02.jan;01.feb;1.0;03.jan;0.3;0.7;1.0;01.jan;01.jul;02.mai;04.sep;1.0
30-74 år;1999M08;Registrert helt arbeidsledige;02.feb;02.mai;3.0;03.apr;01.mai;01.jan;0.8;0.8;0.9;01.apr;01.mar;01.sep;01.mar;0.5;01.feb;01.feb;0.7;02.sep;0.4;1.0;3.0;01.aug;01.jun;02.aug;0.0;01.jan
30-74 år;1999M09;Registrert helt arbeidsledige;01.aug;02.feb;02.aug;03.mai;01.feb;0.7;0.9;0.7;0.8;01.jan;01.feb;01.sep;01.mai;01.jan;01.apr;01.mar;01.mar;3.0;0.4;0.9;02.mai;0.7;01.mai;02.sep;01.feb;01.feb
30-74 år;1999M10;Registrert helt arbeidsledige;01.mai;02.mar;02.aug;03.mai;01.feb;0.7;0.3;1.0;1.0;01.feb;01.mar;01.sep;01.apr;01.jan;01.aug;01.jan;01.mar;03.jul;0.7;0.7;2.0;01.aug;01.jun;03.jan;0.0;01.feb
30-74 år;1999M11;Registrert helt arbeidsledige;01.mar;02.mar;02.aug;03.mar;01.jan;01.jan;0.7;1.0;1.0;1.0;01.jan;01.sep;01.apr;0.5;01.jun;0.9;01.jun;03.jul;0.9;01.jan;2.0;01.apr;01.jun;3.0;0.0;01.mar
30-74 år;1999M12;Registrert helt arbeidsledige;01.feb;02.apr;02.aug;03.apr;0.8;0.8;0.9;1.0;01.jan;01.jan;01.apr;2.0;01.mar;0.5;03.jun;01.jan;01.jun;3.0;01.jan;1.0;2.0;01.jan;02.jan;03.jan;01.feb;2.0
30-74 år;2000M01;Registrert helt arbeidsledige;01.aug;02.jul;03.jan;4.0;01.jul;01.jun;01.feb;01.jan;01.apr;01.mai;01.jul;02.apr;01.jul;0.5;02.mai;02.mar;01.mai;03.jun;01.jul;01.mar;2.0;03.jan;02.apr;03.jun;03.mar;02.jan
30-74 år;2000M02;Registrert helt arbeidsledige;01.apr;02.mai;3.0;03.aug;3.0;01.mai;01.jan;01.feb;01.apr;01.apr;01.apr;02.mar;01.jun;0.8;02.jan;01.apr;01.apr;03.jan;01.apr;0.9;2.0;02.jan;02.apr;03.apr;0.0;02.jan
30-74 år;2000M03;Registrert helt arbeidsledige;01.jul;02.mai;03.jan;03.aug;2.0;01.jun;1.0;01.feb;01.apr;01.apr;01.mai;02.mar;01.aug;01.jun;01.aug;01.apr;01.sep;03.mar;1.0;0.9;2.0;01.jul;02.apr;03.apr;0.0;01.jul
30-74 år;2000M04;Registrert helt arbeidsledige;02.feb;02.mai;03.mar;03.jun;01.mai;01.apr;01.feb;01.mar;01.jan;01.mar;01.jun;02.jan;01.jul;01.mar;01.jun;01.mar;01.feb;3.0;01.mar;01.apr;2.0;01.apr;02.apr;03.jan;03.mar;01.jul
30-74 år;2000M05;Registrert helt arbeidsledige;02.feb;02.mai;03.apr;04.jan;01.feb;01.feb;01.jan;01.mar;01.feb;01.apr;01.apr;2.0;01.mai;01.mar;01.jul;01.mar;01.jun;3.0;01.mar;01.jan;01.mai;01.jul;02.apr;03.jan;02.feb;01.jul
30-74 år;2000M06;Registrert helt arbeidsledige;02.jul;02.mai;03.jun;03.sep;01.sep;01.apr;01.apr;01.mar;01.apr;01.apr;01.mai;02.mar;01.sep;0.8;2.0;1.0;01.mar;02.mai;1.0;01.feb;2.0;01.jul;02.jun;3.0;01.jan;01.mar
30-74 år;2000M07;Registrert helt arbeidsledige;04.mai;02.aug;03.jul;04.jan;02.aug;01.sep;01.feb;01.feb;01.apr;01.sep;01.jul;02.mai;01.aug;01.jun;2.0;01.jun;01.apr;02.mai;2.0;01.feb;01.mai;01.jul;02.jul;03.mai;06.jun;01.mar
30-74 år;2000M08;Registrert helt arbeidsledige;03.jan;02.aug;03.jul;04.feb;02.sep;01.jun;01.mar;01.mar;01.jul;01.jul;01.jul;02.mar;01.mai;01.aug;02.feb;1.0;01.jun;02.aug;01.aug;1.0;2.0;02.apr;02.mai;03.feb;01.jan;01.apr
30-74 år;2000M09;Registrert helt arbeidsledige;02.aug;02.jul;03.jun;04.jan;03.feb;01.apr;01.mar;01.jun;01.sep;01.jun;01.aug;02.mar;01.mai;01.aug;01.sep;0.9;01.mai;02.mai;01.jun;01.feb;2.0;02.aug;02.mai;03.apr;01.jan;01.feb
30-74 år;2000M10;Registrert helt arbeidsledige;02.mar;02.aug;03.jun;04.apr;03.jan;01.feb;01.jan;01.sep;01.jul;01.jun;01.sep;02.apr;01.apr;02.jan;2.0;1.0;01.apr;3.0;01.mai;01.sep;04.jan;03.jan;02.jul;03.jun;0.0;01.feb
30-74 år;2000M11;Registrert helt arbeidsledige;02.jun;02.sep;03.mai;04.mar;02.aug;01.apr;01.jan;2.0;03.sep;04.aug;02.mai;02.mai;01.jun;01.mar;02.jan;01.feb;01.mai;03.mar;02.feb;01.apr;04.jan;02.jan;02.mai;03.jul;0.0;01.feb
30-74 år;2000M12;Registrert helt arbeidsledige;02.sep;02.sep;03.jun;04.apr;3.0;01.mai;0.8;01.aug;03.mar;03.aug;02.apr;02.mai;01.aug;01.aug;02.jun;01.mai;01.apr;03.sep;01.aug;01.sep;04.jun;02.apr;02.jun;03.aug;0.0;01.mar
30-74 år;2001M01;Registrert helt arbeidsledige;02.apr;02.sep;03.jul;04.apr;02.jul;01.jul;0.5;01.mai;02.jan;01.apr;2.0;02.mai;2.0;01.mar;02.sep;01.jun;02.apr;03.jul;01.jul;01.mai;03.sep;02.apr;03.feb;4.0;02.feb;01.jun
30-74 år;2001M02;Registrert helt arbeidsledige;02.mar;02.aug;03.apr;04.jan;3.0;01.feb;1.0;01.feb;01.jun;01.apr;01.jun;02.mar;01.mai;0.5;02.jun;01.mar;02.feb;03.aug;01.mai;0.9;04.sep;02.aug;02.sep;03.jul;01.jan;01.feb
30-74 år;2001M03;Registrert helt arbeidsledige;02.feb;02.jul;03.feb;03.sep;02.jul;01.mar;0.8;01.apr;01.jul;01.mar;01.jul;02.jan;01.mar;01.mar;02.feb;1.0;01.sep;03.apr;01.feb;01.jan;03.sep;02.aug;02.jul;03.mai;01.jan;0.9
30-74 år;2001M04;Registrert helt arbeidsledige;02.mai;02.mai;3.0;03.jun;02.jul;0.8;1.0;01.jan;01.apr;1.0;01.apr;01.sep;01.apr;0.8;02.feb;01.mar;01.sep;03.jan;0.9;01.jan;02.sep;02.jan;02.apr;03.mar;0.0;01.feb
30-74 år;2001M05;Registrert helt arbeidsledige;02.jan;02.apr;02.aug;03.mar;02.jul;0.8;01.feb;01.jan;01.feb;0.9;01.apr;01.sep;01.mai;01.mar;01.jun;0.7;01.mai;02.sep;0.7;0.8;03.apr;02.aug;02.apr;02.aug;0.0;0.9
30-74 år;2001M06;Registrert helt arbeidsledige;2.0;02.mar;02.sep;03.aug;02.feb;01.feb;1.0;1.0;01.feb;0.9;01.apr;01.sep;01.apr;01.mar;01.jun;0.7;01.aug;3.0;01.jan;0.7;02.sep;02.jan;02.jun;02.sep;0.0;0.7
30-74 år;2001M07;Registrert helt arbeidsledige;02.jun;02.apr;03.jan;4.0;02.mai;01.apr;01.feb;01.mar;01.apr;01.mar;01.jun;02.jan;01.mai;01.mar;02.feb;1.0;01.jul;02.sep;01.feb;1.0;03.apr;02.aug;02.apr;03.feb;03.mar;0.8
30-74 år;2001M08;Registrert helt arbeidsledige;02.feb;02.jun;03.feb;4.0;02.jun;01.mar;01.mar;01.mar;01.mai;01.mar;01.mai;02.feb;01.mar;01.jun;02.feb;0.7;01.jul;03.apr;01.mar;01.jan;02.apr;01.apr;02.mar;03.apr;01.jan;01.jan
30-74 år;2001M09;Registrert helt arbeidsledige;01.sep;02.apr;03.mar;03.aug;02.jul;01.mai;01.apr;1.0;01.apr;01.jun;01.mai;02.feb;01.mai;1.0;01.sep;0.8;02.mar;3.0;01.feb;1.0;02.sep;01.apr;02.jan;03.jan;01.jan;0.9
30-74 år;2001M10;Registrert helt arbeidsledige;01.sep;02.mai;03.feb;03.jul;02.jan;01.mai;01.mai;0.9;01.apr;01.jun;01.mai;2.0;01.mai;01.mar;02.mar;0.9;01.sep;02.sep;01.feb;01.jan;2.0;01.jul;02.mar;03.jan;01.jan;0.8
30-74 år;2001M11;Registrert helt arbeidsledige;01.aug;02.jun;03.feb;03.aug;02.aug;01.jul;01.mai;01.jan;01.jul;01.mai;01.feb;02.jan;01.jun;1.0;02.feb;01.mai;01.jul;03.apr;01.jun;01.apr;01.mai;01.jul;02.mai;03.feb;01.jan;1.0
30-74 år;2001M12;Registrert helt arbeidsledige;01.sep;02.jun;03.feb;03.sep;02.sep;01.mai;01.feb;01.feb;01.jul;01.mai;01.mai;02.feb;01.mai;02.jan;02.mar;01.jun;01.mai;03.feb;01.apr;2.0;2.0;02.jan;02.jul;03.apr;01.jan;01.mar
30-74 år;2002M01;Registrert helt arbeidsledige;02.jan;02.sep;03.jun;04.jan;03.apr;01.jun;01.feb;01.mar;01.jul;01.mai;01.aug;02.mai;01.sep;01.mai;02.jun;02.apr;01.jul;03.apr;01.mar;02.jan;02.mai;02.apr;3.0;4.0;02.feb;01.mai
30-74 år;2002M02;Registrert helt arbeidsledige;2.0;02.jul;03.apr;03.sep;03.mar;1.0;0.9;01.jan;01.jun;01.sep;01.jun;02.mai;01.jun;01.mai;02.jul;01.jan;01.apr;03.jan;01.jan;2.0;3.0;02.apr;02.mai;03.mai;07.sep;01.feb
30-74 år;2002M03;Registrert helt arbeidsledige;01.aug;02.jun;03.mar;4.0;03.feb;01.jan;01.jan;01.feb;01.jul;01.jul;01.jul;02.jun;01.aug;01.mai;02.jul;01.mar;01.mai;03.jan;0.8;01.jul;3.0;02.jul;02.jun;03.mai;03.apr;01.feb
30-74 år;2002M04;Registrert helt arbeidsledige;02.feb;02.jul;03.mar;03.sep;02.aug;1.0;01.feb;01.jan;01.jun;01.jul;01.apr;02.mar;01.jun;1.0;02.mar;2.0;02.feb;03.jan;01.jan;01.feb;3.0;2.0;02.mar;03.feb;10.jan;01.feb
30-74 år;2002M05;Registrert helt arbeidsledige;02.jan;02.jun;03.mar;03.jun;02.jun;0.7;1.0;01.jan;01.apr;01.jun;01.mai;02.apr;01.aug;01.mai;02.mar;02.jan;01.jul;03.apr;01.jan;01.feb;3.0;02.apr;02.jan;03.jan;07.sep;1.0
30-74 år;2002M06;Registrert helt arbeidsledige;01.mai;02.jun;03.apr;03.jun;02.jul;0.7;1.0;1.0;01.apr;01.apr;01.mai;02.mar;01.sep;01.mar;02.mar;01.apr;01.jul;03.jan;0.8;01.mar;3.0;02.apr;02.jan;03.feb;06.jul;01.jan
30-74 år;2002M07;Registrert helt arbeidsledige;02.feb;02.sep;03.jul;04.jan;03.feb;01.mar;0.9;01.mar;01.aug;01.sep;01.sep;02.jun;02.jan;01.mai;02.sep;01.feb;01.jul;03.jun;1.0;01.mar;02.mai;2.0;02.jun;03.jul;05.jun;01.feb
30-74 år;2002M08;Registrert helt arbeidsledige;2.0;02.sep;03.jul;03.sep;03.mar;01.jan;01.mar;01.mar;01.jul;01.jul;01.aug;02.aug;01.sep;02.mar;02.jun;01.mai;01.aug;3.0;0.7;01.jun;03.mai;02.apr;02.mar;03.apr;04.mai;01.jan
30-74 år;2002M09;Registrert helt arbeidsledige;01.sep;02.jul;03.mai;03.jun;02.sep;01.mar;01.jan;01.feb;01.aug;01.jul;01.mar;02.sep;2.0;02.mai;02.mai;01.jul;01.jun;3.0;1.0;01.jun;02.mai;02.apr;02.feb;03.jan;10.jan;01.jan
30-74 år;2002M10;Registrert helt arbeidsledige;01.sep;02.aug;03.jun;03.jun;03.mar;01.mar;01.apr;01.feb;01.aug;01.jun;01.sep;02.jul;2.0;02.mai;02.jul;3.0;01.jun;03.jan;01.feb;2.0;3.0;2.0;02.jan;03.jan;06.jul;01.jan
30-74 år;2002M11;Registrert helt arbeidsledige;02.jul;02.aug;03.jun;03.jun;04.jan;1.0;01.apr;01.jan;01.jun;01.sep;02.jan;3.0;02.mar;02.mar;03.jan;01.aug;01.sep;02.aug;01.feb;01.aug;01.mai;02.apr;02.mar;3.0;04.mai;01.feb
30-74 år;2002M12;Registrert helt arbeidsledige;02.jun;02.aug;03.jul;03.aug;04.mai;01.jan;01.aug;01.mar;01.jul;01.aug;02.mar;02.aug;02.mai;2.0;03.aug;2.0;01.mai;02.apr;01.apr;01.aug;01.mai;02.apr;02.apr;03.apr;01.jan;01.feb
